"SampleID"	"Totalgenes_1M"	"Totalgenes_10M"	"TotalKEGG_10M"	"GCount"
"1"	"Sample_092"	199439	584219	4312	"LGC"
"2"	"Sample_010"	79066	169799	4289	"LGC"
"3"	"Sample_091"	165104	438377	4314	"LGC"
"4"	"Sample_073"	205298	558854	4256	"LGC"
"5"	"Sample_049"	199032	541356	4247	"LGC"
"6"	"Sample_108"	233188	700127	5080	"HGC"
"7"	"Sample_095"	203385	586488	4790	"LGC"
"8"	"Sample_068"	204659	525872	4362	"LGC"
"9"	"Sample_094"	70865	210318	3641	"LGC"
"10"	"Sample_028"	179861	424970	4105	"LGC"
"11"	"Sample_067"	161825	441230	4130	"LGC"
"12"	"Sample_117"	203048	661088	4671	"HGC"
"13"	"Sample_122"	188789	575032	4573	"LGC"
"14"	"Sample_099"	233768	699083	4915	"HGC"
"15"	"Sample_128"	188029	634883	4925	"HGC"
"16"	"Sample_097"	165705	457917	4473	"LGC"
"17"	"Sample_113"	253176	815209	4960	"HGC"
"18"	"Sample_118"	209231	579932	4930	"LGC"
"19"	"Sample_112"	256016	726754	4380	"HGC"
"20"	"Sample_123"	206094	542907	4236	"LGC"
"21"	"Sample_105"	234553	695652	4940	"HGC"
"22"	"Sample_131"	192976	535166	5530	"LGC"
"23"	"Sample_145"	188715	530959	4422	"LGC"
"24"	"Sample_149"	186032	630677	4582	"HGC"
"25"	"Sample_141"	210410	605898	4913	"LGC"
"26"	"Sample_143"	263308	806819	5443	"HGC"
"27"	"Sample_134"	191276	561904	4178	"LGC"
"28"	"Sample_146"	212061	630386	4202	"HGC"
"29"	"Sample_147"	139466	386682	4211	"LGC"
"30"	"Sample_133"	206020	534994	4516	"LGC"
"31"	"Sample_139"	226428	658123	4188	"HGC"
"32"	"Sample_136"	200784	667681	4153	"HGC"
"33"	"Sample_014"	164486	429408	4400	"LGC"
"34"	"Sample_018"	190244	478384	4359	"LGC"
"35"	"Sample_074"	245852	673424	4769	"HGC"
"36"	"Sample_035"	162140	459434	4639	"LGC"
"37"	"Sample_013"	160307	348487	3850	"LGC"
"38"	"Sample_041"	81692	165632	4056	"LGC"
"39"	"Sample_017"	213399	558831	4477	"LGC"
"40"	"Sample_002"	146490	362539	4013	"LGC"
"41"	"Sample_022"	197718	519796	4389	"LGC"
"42"	"Sample_034"	219812	642729	5023	"HGC"
"43"	"Sample_016"	162458	385794	4126	"LGC"
"44"	"Sample_033"	248887	812941	5153	"HGC"
"45"	"Sample_050"	215568	566165	5063	"LGC"
"46"	"Sample_038"	131022	299875	4132	"LGC"
"47"	"Sample_054"	105925	230830	3889	"LGC"
"48"	"Sample_071"	182552	535268	4188	"LGC"
"49"	"Sample_037"	207557	515793	4247	"LGC"
"50"	"Sample_060"	84900	193571	3811	"LGC"
"51"	"Sample_044"	243118	685075	4699	"HGC"
"52"	"Sample_051"	172612	438852	4302	"LGC"
"53"	"Sample_039"	119318	316803	3930	"LGC"
"54"	"Sample_064"	234400	631395	4822	"HGC"
"55"	"Sample_043"	168136	489090	4234	"LGC"
"56"	"Sample_181"	285744	904589	5266	"HGC"
"57"	"Sample_158"	192331	556701	4600	"LGC"
"58"	"Sample_170"	205752	672712	4451	"HGC"
"59"	"Sample_167"	165265	525403	4378	"LGC"
"60"	"Sample_165"	206069	520078	4826	"LGC"
"61"	"Sample_124"	192658	459567	4060	"LGC"
"62"	"Sample_160"	134290	385924	4260	"LGC"
"63"	"Sample_184"	247437	707854	5108	"HGC"
"64"	"Sample_012"	205583	584246	4227	"LGC"
"65"	"Sample_152"	244525	716260	5664	"HGC"
"66"	"Sample_150"	165340	419826	4284	"LGC"
"67"	"Sample_062"	195506	648006	5034	"HGC"
"68"	"Sample_083"	216521	660371	5177	"HGC"
"69"	"Sample_089"	145679	344414	3971	"LGC"
"70"	"Sample_082"	192926	509434	4560	"LGC"
"71"	"Sample_107"	226024	624249	4731	"HGC"
"72"	"Sample_086"	234068	687728	5063	"HGC"
"73"	"Sample_101"	181338	485265	4118	"LGC"
"74"	"Sample_110"	210626	562714	4306	"LGC"
"75"	"Sample_087"	250435	722777	5732	"HGC"
"76"	"Sample_069"	174024	394725	3927	"LGC"
"77"	"Sample_103"	166192	447819	4766	"LGC"
"78"	"Sample_163"	162926	496645	4992	"LGC"
"79"	"Sample_135"	266578	888354	5312	"HGC"
