      2 VFG000077(gb|NP_465991)
     25 VFG000079(gb|NP_463763)
      2 VFG000080(gb|NP_464522)
      1 VFG000270(gb|WP_000724295)
      4 VFG001269(gb|WP_010929996)
      1 VFG001317(gb|WP_001041586)
      2 VFG001335(gb|WP_000802362)
      1 VFG001336(gb|WP_000727601)
      6 VFG001348(gb|WP_000659580)
     11 VFG001373(gb|WP_000758382)
      2 VFG001374(gb|WP_000077424)
      2 VFG001376(gb|WP_000695335)
      2 VFG001887(gb|WP_010947186)
      1 VFG001967(gb|YP_002344822)
      2 VFG001969(gb|YP_002344824)
      2 VFG002182(gb|WP_002376666)
      2 VFG002965(gb|WP_011302064)
      4 VFG002966(gb|WP_011274717)
      1 VFG005020(gb|WP_011274718)
      1 VFG005042(gb|WP_011274720)
      1 VFG005065
      2 VFG005193(gb|WP_000006720)
      1 VFG005198(gb|WP_011836787)
      1 VFG005296(gb|WP_000850398)
      1 VFG005298(gb|WP_000822370)
      2 VFG005347(gb|WP_002986042)
     11 VFG005352(gb|WP_002986042)
      2 VFG005359(gb|WP_002899102)
     14 VFG005360(gb|WP_002262489)
      3 VFG005365(gb|WP_000167699)
      2 VFG005784(gb|WP_001092618)
      1 VFG005790(gb|WP_000033003)
      1 VFG005792(gb|WP_001068960)
      2 VFG005898(gb|WP_002904719)
      2 VFG005940(gb|WP_011681171)
     18 VFG005992(gb|WP_000685095)
      5 VFG005997(gb|WP_002263084)
      1 VFG006004(gb|WP_001819836)
      1 VFG006015(gb|WP_000676152)
      1 VFG006027(gb|WP_002916998)
      1 VFG006475(gb|WP_011578336)
      1 VFG006476(gb|WP_011115250)
      1 VFG006720(gb|WP_011702434)
      1 VFG006797(gb|WP_011702610)
      1 VFG007257(gb|WP_005482130)
      9 VFG007373(gb|WP_011078343)
      2 VFG007394(gb|WP_000840982)
      1 VFG007430(gb|WP_000130773)
     31 VFG007435(gb|WP_005420346)
      7 VFG007456(gb|WP_005457757)
      9 VFG007457(gb|WP_026130674)
      2 VFG007458(gb|WP_043877279)
      5 VFG007489(gb|WP_011262361)
     20 VFG007499(gb|WP_011079830)
     13 VFG007528(gb|WP_005457770)
     15 VFG007552(gb|WP_005479477)
      1 VFG007558(gb|WP_005479526)
      3 VFG007656(gb|WP_011078838)
      1 VFG007657(gb|WP_043877045)
      1 VFG007659(gb|WP_011261022)
      1 VFG007661(gb|WP_011261023)
      1 VFG007911(gb|WP_010908851)
      1 VFG007914(gb|WP_011780329)
      1 VFG008277(gb|WP_011777397)
      3 VFG009161(gb|WP_005067995)
      2 VFG009244(gb|WP_011893656)
      1 VFG009364(gb|WP_083045543)
      2 VFG009533(gb|WP_011729889)
      1 VFG009576(gb|WP_024637120)
      4 VFG009718(gb|WP_011728563)
      1 VFG009719(gb|WP_011894790)
      5 VFG009720(gb|WP_011779686)
      1 VFG009928(gb|WP_003894345)
      1 VFG011124
      1 VFG011169(gb|WP_012415800)
      1 VFG011684(gb|WP_002860371)
      4 VFG011933(gb|WP_011731940)
      1 VFG012060(gb|WP_011732168)
     22 VFG012095(gb|WP_003435012)
     14 VFG012096(gb|WP_011722916)
      1 VFG012097(gb|WP_003462314)
      1 VFG012098(gb|WP_003454479)
     10 VFG012099(gb|WP_011100542)
      5 VFG012101(gb|WP_010965990)
     16 VFG012102(gb|WP_011967678)
     33 VFG012103(gb|WP_003514589)
      5 VFG013260(gb|WP_010868968)
      3 VFG013287(gb|WP_005688951)
      2 VFG013371(gb|WP_005648212)
      1 VFG013433(gb|WP_011962021)
     48 VFG013434(gb|WP_010945082)
      1 VFG013464(gb|WP_011609611)
      5 VFG013530(gb|WP_010869249)
      4 VFG013534(gb|WP_010944436)
      1 VFG013672(gb|WP_010934130)
      1 VFG013775(gb|WP_003141354)
      1 VFG013901(gb|WP_004654396)
      1 VFG013907(gb|WP_004373763)
      1 VFG013913(gb|WP_003400837)
      1 VFG013980(gb|WP_041774140)
      1 VFG014129(gb|WP_003150889)
      1 VFG014135(gb|WP_025297832)
      2 VFG014360(gb|WP_003316803)
      1 VFG014364(gb|WP_011534913)
      2 VFG014366(gb|WP_003222863)
      1 VFG014368(gb|WP_014597048)
     11 VFG014387(gb|WP_004664453)
      1 VFG014389(gb|WP_012051624)
      1 VFG014854(gb|WP_011921099)
      1 VFG014952(gb|WP_003140933)
      1 VFG014955(gb|WP_011169354)
      2 VFG014956(gb|WP_049587369)
      1 VFG014961(gb|WP_003245464)
      2 VFG014985(gb|WP_012077206)
      4 VFG014987(gb|WP_003377590)
      1 VFG014992(gb|WP_011535570)
      3 VFG014993(gb|WP_011059287)
      1 VFG015075(gb|WP_011532652)
      1 VFG015077(gb|WP_041475601)
      1 VFG015491(gb|WP_011979138)
      1 VFG015494(gb|WP_011167352)
      1 VFG015496(gb|WP_012052412)
      1 VFG015497(gb|WP_011064261)
      2 VFG015805(gb|WP_012272402)
      3 VFG015806(gb|WP_012314365)
      1 VFG015821(gb|WP_012315374)
      1 VFG015906(gb|WP_011267825)
      1 VFG016023(gb|WP_011103875)
      1 VFG016042(gb|WP_161440564)
      1 VFG016184(gb|WP_005762826)
      5 VFG016381(gb|WP_033685340)
     19 VFG016387(gb|WP_000996578)
      1 VFG016394(gb|WP_000608671)
      1 VFG016401(gb|WP_000122128)
      2 VFG016450(gb|WP_011076982)
      1 VFG016470(gb|WP_011290436)
     21 VFG016483(gb|WP_010875022)
      6 VFG016484(gb|WP_009885583)
    137 VFG016485(gb|WP_011113468)
      6 VFG016489(gb|WP_011264744)
     23 VFG016490(gb|NP_975163)
     61 VFG016491(gb|WP_011076858)
     36 VFG016492(gb|WP_010925206)
     37 VFG016493(gb|WP_011283803)
     50 VFG016494(gb|WP_004024476)
      4 VFG016495(gb|WP_011166362)
      1 VFG016532(gb|NP_975942)
      1 VFG016784(gb|WP_005767817)
      5 VFG016861(gb|WP_010882971)
      1 VFG016966(gb|WP_011006008)
      2 VFG016986(gb|WP_011006012)
      1 VFG017987(gb|WP_012006774)
      2 VFG018001(gb|WP_002866148)
      2 VFG018002(gb|WP_002866149)
      8 VFG018652(gb|WP_006154814)
      9 VFG018662(gb|WP_012130507)
     35 VFG018666(gb|WP_012000428)
      2 VFG019069(gb|WP_000728266)
      3 VFG019116(gb|WP_000358336)
     10 VFG019134(gb|WP_012422966)
      1 VFG019138(gb|WP_012342778)
      1 VFG019140(gb|WP_012423869)
      3 VFG019781(gb|WP_012613866)
      1 VFG019824(gb|WP_015885197)
      1 VFG019860(gb|WP_015885176)
     13 VFG022866(gb|WP_013829374)
      1 VFG022933(gb|WP_013827764)
      1 VFG023850(gb|WP_043955033)
      1 VFG024069(gb|WP_014941520)
      1 VFG024127(gb|WP_011894790)
      1 VFG024128(gb|WP_026071295)
      1 VFG024680(gb|WP_085978051)
      2 VFG024850(gb|WP_025987421)
      2 VFG025294(gb|WP_009896189)
      1 VFG025761(gb|WP_006491878)
      2 VFG026291(gb|WP_011694187)
      3 VFG026985(gb|WP_051073897)
      1 VFG027180(gb|WP_198345124)
      1 VFG029516(gb|WP_015292076)
      2 VFG030679(gb|WP_011730288)
      5 VFG030684(gb|WP_011781637)
      1 VFG030692(gb|WP_013828150)
      1 VFG030694(gb|WP_013471930)
      1 VFG030703(gb|WP_014000675)
     15 VFG030724(gb|WP_015308640)
      1 VFG031037(gb|WP_010908991)
      4 VFG031039(gb|WP_011726364)
      7 VFG031048(gb|WP_011777508)
      1 VFG031056(gb|WP_193374435)
      5 VFG031084(gb|WP_041312930)
      1 VFG031093(gb|WP_011729397)
      2 VFG031400(gb|WP_085979799)
      1 VFG031402(gb|WP_008257346)
      1 VFG031403(gb|WP_014711794)
      1 VFG031404(gb|WP_085981087)
      1 VFG031730(gb|WP_014876914)
      1 VFG031934(gb|WP_012985971)
      1 VFG031960(gb|WP_014092990)
      1 VFG031961(gb|WP_012985768)
      1 VFG032518(gb|WP_014093400)
      1 VFG032519(gb|WP_012986167)
      4 VFG032599(gb|WP_014093098)
      1 VFG037890(gb|WP_001165098)
      7 VFG037923(gb|WP_000699387)
      4 VFG037938(gb|WP_000104825)
      1 VFG037998(gb|WP_000612008)
      1 VFG038031(gb|WP_001175100)
      1 VFG038090(gb|WP_000721143)
      2 VFG038396(gb|WP_005310704)
      1 VFG038466(gb|WP_005340354)
      1 VFG038535(gb|WP_013723952)
      2 VFG038633(gb|WP_005334749)
      3 VFG038698(gb|WP_010634617)
      1 VFG038916(gb|WP_011705263)
      1 VFG038918(gb|WP_164927583)
      1 VFG040878(gb|NP_249377)
      8 VFG040920(gb|WP_004533498)
      4 VFG041020(gb|NP_250353)
      4 VFG041031(gb|NP_251049)
      5 VFG041043(gb|NP_251061)
      1 VFG041152(gb|WP_006484392)
      9 VFG041222(gb|WP_012907484)
      1 VFG041472(gb|WP_004155873)
      1 VFG041535(gb|WP_012907131)
      1 VFG041722(gb|WP_006489706)
      3 VFG041746(gb|WP_004528905)
      1 VFG041782(gb|WP_011176700)
      2 VFG041785(gb|WP_011176697)
      1 VFG041787(gb|WP_011176696)
      2 VFG041871(gb|WP_011136149)
      1 VFG042338(gb|WP_000037412)
      1 VFG042749(gb|NP_252992)
      1 VFG042830(gb|WP_003451114)
      1 VFG042842(gb|WP_011010862)
      1 VFG043086(gb|WP_000067016)
      5 VFG043117(gb|WP_001253441)
      3 VFG043152(gb|WP_005462793)
      5 VFG043285(gb|WP_011860690)
      1 VFG043297(gb|WP_011860700)
      6 VFG043310(gb|WP_011860707)
      3 VFG043367(gb|WP_000971620)
      2 VFG043409(gb|WP_001192590)
      1 VFG043479(gb|AAD53408)
     37 VFG043550(gb|NP_214954)
     10 VFG043556(gb|WP_009885879)
      7 VFG043573(gb|NP_219906)
      3 VFG043593(gb|WP_000078946)
      1 VFG043648(gb|NP_252312)
