     16 VFG000079(gb|NP_463763)
     12 VFG000080(gb|NP_464522)
      2 VFG001248(gb|NP_249788)
      5 VFG001269(gb|WP_010929996)
      4 VFG001373(gb|WP_000758382)
      5 VFG001376(gb|WP_000695335)
      2 VFG001855(gb|WP_197535493)
      1 VFG001969(gb|YP_002344824)
      5 VFG002966(gb|WP_011274717)
     28 VFG005020(gb|WP_011274718)
      2 VFG005352(gb|WP_002986042)
      6 VFG005359(gb|WP_002899102)
      1 VFG005360(gb|WP_002262489)
     27 VFG005576(gb|WP_000022832)
      1 VFG005865(gb|WP_002262524)
      7 VFG005898(gb|WP_002904719)
      5 VFG005986(gb|WP_196767671)
      5 VFG005992(gb|WP_000685095)
      2 VFG006004(gb|WP_001819836)
      6 VFG006015(gb|WP_000676152)
      2 VFG006720(gb|WP_011702434)
      1 VFG007496(gb|WP_001190986)
     20 VFG007656(gb|WP_011078838)
      6 VFG007657(gb|WP_043877045)
      1 VFG007793(gb|WP_014000413)
      1 VFG007911(gb|WP_010908851)
      1 VFG011124
      1 VFG012004(gb|WP_002869093)
      2 VFG012095(gb|WP_003435012)
      4 VFG012103(gb|WP_003514589)
      4 VFG013155(gb|WP_012341780)
      1 VFG013156(gb|WP_012341779)
      1 VFG014020(gb|WP_011266432)
     35 VFG014120(gb|WP_042169654)
     20 VFG014129(gb|WP_003150889)
      1 VFG014137(gb|WP_003138472)
      1 VFG014360(gb|WP_003316803)
      1 VFG014393(gb|WP_012019025)
      2 VFG014600(gb|WP_011333069)
     17 VFG014847(gb|WP_011266795)
      2 VFG014851(gb|WP_011535591)
      1 VFG014987(gb|WP_003377590)
      4 VFG015068(gb|WP_003156446)
     58 VFG015071(gb|WP_011268595)
     21 VFG015076(gb|WP_011062714)
     24 VFG015077(gb|WP_041475601)
      1 VFG015494(gb|WP_011167352)
      1 VFG015497(gb|WP_011064261)
     31 VFG015676(gb|WP_012273513)
      3 VFG015677(gb|WP_012315528)
      1 VFG015680(gb|WP_012273511)
      4 VFG015753(gb|WP_012312809)
      2 VFG015783(gb|WP_012313127)
      1 VFG015806(gb|WP_012314365)
      1 VFG015906(gb|WP_011267825)
      1 VFG016184(gb|WP_005762826)
      1 VFG016380(gb|WP_000609547)
      9 VFG016483(gb|WP_010875022)
      3 VFG016485(gb|WP_011113468)
      4 VFG016489(gb|WP_011264744)
      3 VFG016491(gb|WP_011076858)
      5 VFG016492(gb|WP_010925206)
     47 VFG016493(gb|WP_011283803)
     13 VFG016494(gb|WP_004024476)
      7 VFG017974
      3 VFG018402(gb|WP_000131305)
      5 VFG018652(gb|WP_006154814)
      4 VFG018662(gb|WP_012130507)
      2 VFG018672(gb|WP_012000442)
      2 VFG019134(gb|WP_012422966)
      1 VFG022573(gb|WP_013828959)
      5 VFG022670(gb|WP_013831099)
      1 VFG022866(gb|WP_013829374)
      1 VFG023781(gb|WP_020283357)
      4 VFG025294(gb|WP_009896189)
      1 VFG026291(gb|WP_011694187)
      4 VFG026325(gb|WP_009889299)
      1 VFG030724(gb|WP_015308640)
     10 VFG031037(gb|WP_010908991)
     17 VFG031061(gb|WP_009952664)
      1 VFG031400(gb|WP_085979799)
      1 VFG031402(gb|WP_008257346)
      1 VFG031732(gb|WP_011558087)
      2 VFG037041(gb|WP_014581728)
     23 VFG037726(gb|WP_001027059)
     11 VFG037903(gb|WP_001175102)
      7 VFG037938(gb|WP_000104825)
      2 VFG037990(gb|WP_000705810)
     11 VFG038016(gb|WP_001083066)
     10 VFG038040(gb|WP_000471756)
      1 VFG038398(gb|WP_005310706)
      1 VFG038687(gb|WP_016350057)
      1 VFG038756(gb|WP_011706626)
      1 VFG038916(gb|WP_011705263)
      4 VFG038918(gb|WP_164927583)
      1 VFG040891(gb|WP_019237945)
      1 VFG041031(gb|NP_251049)
      1 VFG041043(gb|NP_251061)
      1 VFG041163(gb|WP_000614300)
      3 VFG041222(gb|WP_012907484)
      1 VFG043447(gb|YP_177831)
     35 VFG043469(gb|YP_001201070)
     12 VFG043550(gb|NP_214954)
      2 VFG043573(gb|NP_219906)
      6 VFG044130(gb|WP_005874678)
      5 VFG044131(gb|WP_005874564)
      3 VFG044228(gb|WP_044488032)
      1 VFG044229(gb|WP_011533702)
      3 VFG045305(gb|WP_010946494)
      4 VFG045729(gb|WP_085956275)
      2 VFG046458(gb|WP_003024794)
      7 VFG046459(gb|WP_004287053)
      3 VFG046467(gb|WP_014548920)
     13 VFG046470(gb|WP_014548920)
      2 VFG046474(gb|WP_014714676)
    164 VFG046475(gb|WP_013922406)
      1 VFG047710(gb|WP_014547360)
      2 VFG048822(gb|WP_004122480)
     13 VFG048823(gb|WP_014230059)
      7 VFG048824(gb|WP_014907233)
     52 VFG048844(gb|WP_014838945)
      2 VFG048845(gb|WP_004122486)
      3 VFG048848(gb|YP_005227859)
     14 VFG048885(gb|WP_014907227)
      4 VFG048959(gb|WP_020956638)
      2 VFG048987(gb|WP_000704907)
      8 VFG049072(gb|WP_015958692)
      1 VFG049139(gb|WP_008805437)
      1 VFG049198(gb|WP_008806080)
