    102 VFG000077(gb|NP_465991)
     10 VFG000079(gb|NP_463763)
      6 VFG000080(gb|NP_464522)
      1 VFG000332(gb|WP_005632797)
      2 VFG000342
      2 VFG001317(gb|WP_001041586)
      2 VFG001373(gb|WP_000758382)
      3 VFG001375(gb|WP_000594468)
      2 VFG001376(gb|WP_000695335)
      1 VFG001855(gb|WP_197535493)
     49 VFG001967(gb|YP_002344822)
     65 VFG002084(gb|WP_000619136)
      1 VFG002377(gb|WP_005167721)
      9 VFG002966(gb|WP_011274717)
      1 VFG005021(gb|WP_011302065)
     11 VFG005065
      2 VFG005352(gb|WP_002986042)
      3 VFG005359(gb|WP_002899102)
      5 VFG005360(gb|WP_002262489)
      2 VFG005362(gb|WP_011836421)
      2 VFG005485(gb|WP_000417171)
      1 VFG005582(gb|WP_002897814)
      4 VFG005898(gb|WP_002904719)
      2 VFG005940(gb|WP_011681171)
      2 VFG005952(gb|WP_011681172)
     15 VFG005964(gb|WP_011681173)
     16 VFG005992(gb|WP_000685095)
      1 VFG005997(gb|WP_002263084)
      1 VFG006004(gb|WP_001819836)
     14 VFG006031(gb|WP_011226045)
      1 VFG006055(gb|WP_002902064)
      2 VFG006077(gb|WP_011227431)
     13 VFG006334(gb|WP_002236579)
      1 VFG006476(gb|WP_011115250)
     28 VFG006496(gb|WP_011115254)
      2 VFG007333(gb|WP_011262374)
     44 VFG007373(gb|WP_011078343)
      1 VFG007432(gb|WP_005457756)
      4 VFG007433(gb|WP_011079841)
     72 VFG007456(gb|WP_005457757)
     46 VFG007457(gb|WP_026130674)
     15 VFG007458(gb|WP_043877279)
     29 VFG007489(gb|WP_011262361)
     39 VFG007495(gb|WP_011262362)
      4 VFG007499(gb|WP_011079830)
     66 VFG007552(gb|WP_005479477)
      4 VFG007639(gb|WP_043920918)
     11 VFG007656(gb|WP_011078838)
      5 VFG007657(gb|WP_043877045)
      2 VFG007659(gb|WP_011261022)
      2 VFG007660(gb|WP_011149274)
      1 VFG007914(gb|WP_011780329)
      6 VFG009718(gb|WP_011728563)
      2 VFG009924(gb|WP_003877578)
      2 VFG010889(gb|WP_011947571)
      4 VFG011933(gb|WP_011731940)
      4 VFG012095(gb|WP_003435012)
      6 VFG012096(gb|WP_011722916)
     13 VFG012099(gb|WP_011100542)
      2 VFG012101(gb|WP_010965990)
      6 VFG012102(gb|WP_011967678)
    106 VFG012103(gb|WP_003514589)
      1 VFG013004(gb|NP_706438)
      1 VFG013260(gb|WP_010868968)
     14 VFG013287(gb|WP_005688951)
      1 VFG013298(gb|WP_012055268)
    139 VFG013421(gb|WP_005630454)
      7 VFG013443(gb|WP_012054403)
      3 VFG013445(gb|WP_041174792)
      1 VFG013464(gb|WP_011609611)
      2 VFG013535(gb|WP_011609092)
      1 VFG014129(gb|WP_003150889)
      1 VFG014359(gb|WP_003382141)
      2 VFG014361(gb|WP_011169094)
      1 VFG014363(gb|WP_003254443)
      1 VFG014364(gb|WP_011534913)
      1 VFG014368(gb|WP_014597048)
     77 VFG014602(gb|WP_017243981)
     10 VFG014905(gb|WP_196240458)
      1 VFG014952(gb|WP_003140933)
      1 VFG014995(gb|WP_011921011)
      2 VFG015068(gb|WP_003156446)
      7 VFG015071(gb|WP_011268595)
     24 VFG015076(gb|WP_011062714)
      3 VFG015077(gb|WP_041475601)
      3 VFG015676(gb|WP_012273513)
      1 VFG015782(gb|WP_012270935)
      3 VFG015783(gb|WP_012313127)
      8 VFG016377(gb|WP_000286451)
     19 VFG016400(gb|WP_000502776)
     17 VFG016428(gb|WP_001017616)
      2 VFG016470(gb|WP_011290436)
     82 VFG016483(gb|WP_010875022)
     11 VFG016484(gb|WP_009885583)
    260 VFG016485(gb|WP_011113468)
     27 VFG016489(gb|WP_011264744)
      3 VFG016490(gb|NP_975163)
      6 VFG016491(gb|WP_011076858)
     26 VFG016492(gb|WP_010925206)
    102 VFG016493(gb|WP_011283803)
