      1 VFG000029(gb|WP_010929608)
     37 VFG000079(gb|NP_463763)
      4 VFG000080(gb|NP_464522)
      4 VFG000332(gb|WP_005632797)
      1 VFG000805(gb|WP_001301454)
      1 VFG001317(gb|WP_001041586)
      3 VFG001374(gb|WP_000077424)
      4 VFG001376(gb|WP_000695335)
      1 VFG001969(gb|YP_002344824)
      1 VFG002377(gb|WP_005167721)
      1 VFG005065
      1 VFG005198(gb|WP_011836787)
      1 VFG005347(gb|WP_002986042)
      1 VFG005352(gb|WP_002986042)
      3 VFG005353(gb|WP_000260656)
     13 VFG005359(gb|WP_002899102)
      5 VFG005360(gb|WP_002262489)
      2 VFG005382(gb|WP_011681303)
      2 VFG005388
      3 VFG005582(gb|WP_002897814)
      4 VFG005844(gb|WP_011681165)
      4 VFG005898(gb|WP_002904719)
      1 VFG005924(gb|YP_001200130)
      1 VFG005952(gb|WP_011681172)
     15 VFG005992(gb|WP_000685095)
      3 VFG005997(gb|WP_002263084)
      1 VFG006000(gb|WP_011681176)
      1 VFG006004(gb|WP_001819836)
      1 VFG006015(gb|WP_000676152)
      2 VFG006022(gb|WP_002947383)
      1 VFG006058(gb|WP_011226049)
      4 VFG006079(gb|WP_011681442)
      2 VFG006082(gb|WP_011226326)
      2 VFG006088(gb|WP_041828290)
      2 VFG007158(gb|WP_005477722)
      1 VFG007639(gb|WP_043920918)
      1 VFG007649(gb|WP_011078840)
      1 VFG007656(gb|WP_011078838)
      2 VFG007657(gb|WP_043877045)
      2 VFG007658(gb|WP_011149273)
      1 VFG007909(gb|WP_003876146)
      2 VFG008277(gb|WP_011777397)
      3 VFG009303(gb|WP_011782503)
      2 VFG009716(gb|WP_111481136)
      2 VFG009718(gb|WP_011728563)
      1 VFG009720(gb|WP_011779686)
      1 VFG009721(gb|WP_083044596)
      1 VFG009818(gb|WP_014878477)
      1 VFG009835(gb|WP_011782153)
      2 VFG009849(gb|WP_011892634)
      1 VFG009865(gb|WP_041307013)
      1 VFG010485(gb|WP_197535493)
      1 VFG010929(gb|WP_012417632)
      5 VFG011813(gb|WP_002850283)
      4 VFG012095(gb|WP_003435012)
     12 VFG012096(gb|WP_011722916)
      6 VFG012099(gb|WP_011100542)
     21 VFG012101(gb|WP_010965990)
      5 VFG012102(gb|WP_011967678)
     78 VFG012103(gb|WP_003514589)
      2 VFG013101(gb|WP_011271972)
      1 VFG013130(gb|WP_010945652)
      2 VFG013167(gb|WP_012341126)
      1 VFG013178(gb|WP_012341378)
