"ref_name","ARO Term","ARO Accession","NCBI","init_final","Model Sequence ID","CVTERM ID","ARO Name","Protein Accession","DNA Accession","AMR Gene Family","Drug Class","Resistance Mechanism"
"rrsC.3003333.U00096.3941808-3943349.3229","rrsC",3003333,"U00096","3941808-3943349","3229",39917,"Escherichia coli 16S rRNA (rrsC) mutation conferring resistance to kasugamicin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"mel.3000616.AF227521.1.3269-4487.5180","mel",3000616,"AF227521 . 1","3269-4487","5180",36910,"mel","AAL73129.1","AF227521.1","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic","antibiotic target protection"
"rrsB.3003402.U00096.4166659-4168200.3235","rrsB",3003402,"U00096","4166659-4168200","3235",39986,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to neomycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"Tet(X3).3004719.MK134375.1.6173-7340.5596","Tet(X3)",3004719,"MK134375 . 1","6173-7340","5596",42774,"Tet(X3)","QBQ85438.1","MK134375.1","tetracycline inactivation enzyme","glycylcycline;tetracycline antibiotic","antibiotic inactivation"
"rrsD.3003512.AE006468.3570463-3572006.3227","rrsD",3003512,"AE006468","3570463-3572006","3227",40114,"Salmonella enterica 16S rRNA (rrsD) mutation conferring resistance to spectinomycin",NA,"AE006468","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"tet(40).3000567.AM419751.14210-15431.5150","tet(40)",3000567,"AM419751","14210-15431","5150",36706,"tet(40)","CAM12479.1","AM419751","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"rrsB.3003408.U00096.4166659-4168200.3241","rrsB",3003408,"U00096","4166659-4168200","3241",39992,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to tobramycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"rrsB.3003376.U00096.4166659-4168200.3240","rrsB",3003376,"U00096","4166659-4168200","3240",39960,"Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to spectinomycin",NA,"U00096","16s rRNA with mutation conferring resistance to aminoglycoside antibiotics","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"dfrF.3002867.AF028812.392-887.677","dfrF",3002867,"AF028812","392-887","677",39301,"dfrF","AAD01868.1","AF028812","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic","antibiotic target replacement"
"fabI.3004045.U00096.3.1350250-1351039.5254","fabI",3004045,"U00096 . 3","1350250-1351039","5254",41097,"Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan","AAC74370.1","U00096.3","antibiotic resistant fabI","isoniazid;triclosan","antibiotic target alteration"
